FQDN Server_IP Package_Name Installation_Status Version
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 policycoreutils-python NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 policycoreutils-python NOT_INSTALLED 
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 firewalld NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 firewalld NOT_INSTALLED 
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 ntp NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 ntp NOT_INSTALLED 
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 chrony INSTALLED ['4.3']
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 chrony INSTALLED ['4.3']
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 tuned NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 tuned NOT_INSTALLED 
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 sysstat INSTALLED ['12.5.6']
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 sysstat INSTALLED ['12.5.6']
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 lsof INSTALLED ['4.94.0']
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 lsof INSTALLED ['4.94.0']
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 psmisc INSTALLED ['23.4']
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 psmisc INSTALLED ['23.4']
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 lvm2 NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 lvm2 NOT_INSTALLED 
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 xfsprogs INSTALLED ['5.18.0']
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 xfsprogs INSTALLED ['5.18.0']
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 epel-release NOT_INSTALLED 
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 yum-utils NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 epel-release NOT_INSTALLED 
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 yum-utils NOT_INSTALLED 
